postcode,easting,northing,price
EH29 9GH,312259.0,674239.0,397500
EH9 1JY,325616.0,672475.0,350000
EH10 4QG,324475.0,671290.0,200000
EH6 8BX,327521.0,675281.0,275500
EH16 5ET,327645.0,671657.0,145000
EH8 9UL,326445.0,673467.0,230000
EH11 1JF,323972.0,672325.0,331400
EH4 2SX,321787.0,675202.0,155311
EH7 5YG,326724.0,674890.0,168501
EH11 2EJ,323607.0,672766.0,145000
EH15 1UA,330173.0,674393.0,200000
EH3 9LN,325030.0,672657.0,650000
EH21 6SS,333468.0,671459.0,250000
EH29 9AR,312421.0,674668.0,265460
EH14 5RG,317524.0,667385.0,385583
EH7 5JA,326478.0,674653.0,418250
EH16 6GU,327565.0,669369.0,395195
EH12 7BU,320821.0,672110.0,185000
EH11 1DD,323866.0,672494.0,195444
EH9 2DQ,326762.0,671617.0,650000
EH7 4AT,326187.0,674834.0,356000
EH4 6ED,318567.0,675545.0,910000
EH17 8NP,328653.0,668918.0,170000
EH6 5BF,326155.0,675495.0,270000
EH1 1QR,325923.0,673533.0,290000
EH4 2EH,322936.0,674477.0,1150
EH17 7SA,328852.0,669038.0,199495
EH5 2PT,323713.0,675989.0,225000
EH11 2DZ,323856.0,672869.0,233500
EH8 7RW,329195.0,673340.0,207500
EH10 4AE,324680.0,671311.0,305000
EH6 6EA,326937.0,676483.0,300000
EH14 1XG,323161.0,671261.0,247500
EH5 3AY,325030.0,676270.0,494213
EH7 5ET,326747.0,674605.0,360000
EH6 8LQ,327031.0,675327.0,170000
EH17 8QJ,329208.0,668457.0,152000
EH15 1LR,330431.0,673626.0,750000
EH15 2RH,331721.0,672851.0,170000
EH4 8GQ,318378.0,674628.0,326000
EH6 5BH,326288.0,675845.0,136000
EH7 6LZ,328748.0,674859.0,150200
EH9 2BT,326702.0,671850.0,80000
EH10 7HU,323234.0,668274.0,415000
EH10 6PS,324257.0,669001.0,511089
EH11 2AQ,323956.0,672795.0,210000
EH15 2QT,331296.0,672937.0,500000
EH12 0DQ,317244.0,673461.0,349000
EH11 4QH,319876.0,670503.0,235000
EH30 9DZ,311639.0,678217.0,750000
EH16 4DF,329702.0,671016.0,305000
EH7 5ET,326747.0,674605.0,360000
