postcode,price,easting,northing
SE4 2DZ,475000,536050.0,175771.0
SW8 5BY,412500,529894.0,177803.0
SE25 6XL,275000,533428.0,168664.0
N7 8PL,562000,531080.0,184704.0
SE10 8PX,1900000,538474.0,177254.0
SE15 6HZ,380000,533418.0,177442.0
SW11 5UB,440000,528000.0,175943.0
SW15 3NY,740000,523756.0,173862.0
SE6 4NQ,430000,536925.0,173180.0
SE3 7AX,710000,540060.0,177571.0
SW18 4GU,680000,525621.0,173292.0
SE13 7GP,430000,537957.0,175785.0
SW18 3QY,726500,526478.0,172651.0
SE6 4EJ,325000,537425.0,174160.0
SE1 2SF,6975000,533524.0,180073.0
SE6 4FA,320000,537329.0,174153.0
SE8 5EU,935000,536273.0,178626.0
SE6 1AE,215000,538799.0,173699.0
SE22 9HQ,775000,533963.0,174798.0
SE15 2BW,610000,535053.0,176220.0
SW18 1ND,780000,524931.0,174105.0
SW16 2BQ,485000,530554.0,171556.0
SE14 6FG,600000,536694.0,177430.0
SE14 6DS,670000,536693.0,177469.0
SE14 6FG,600000,536694.0,177430.0
SE14 6FG,600000,536694.0,177430.0
SE14 6FG,615000,536694.0,177430.0
SW8 1DE,1735000,530527.0,177204.0
SE14 6FG,600000,536694.0,177430.0
SE14 6FG,600000,536694.0,177430.0
SE14 6FG,600000,536694.0,177430.0
SE14 6DS,675000,536693.0,177469.0
SE14 6FG,600000,536694.0,177430.0
SW8 5FR,1305000,530020.0,177702.0
SW11 8AT,3000000,529505.0,177593.0
SW11 8BT,750357,528955.0,177315.0
SW11 8BB,778500,528992.0,177492.0
SW11 8BS,1329840,528955.0,177315.0
SW11 8BT,1038700,528955.0,177315.0
SW11 8BS,1250000,528955.0,177315.0
SW11 8BT,610000,528955.0,177315.0
SW11 8BT,671000,528955.0,177315.0
SW11 8DJ,2179800,528988.0,177356.0
SE14 6FF,600000,536720.0,177448.0
SW11 8DL,1200000,528988.0,177356.0
E16 2AJ,400000,543900.0,180826.0
SW11 8BT,576240,528955.0,177315.0
SW11 8DL,3575000,528988.0,177356.0
NW11 0AT,1280000,524663.0,189254.0
SW11 8DJ,1834560,528988.0,177356.0
SW18 1DR,2208000,525448.0,174746.0
W3 9LT,79500,519921.0,180550.0
SE10 8GX,680000,538298.0,177317.0
SW11 3QF,878000,526820.0,176147.0
SW11 8DP,1550000,528988.0,177356.0
SW9 9NY,650000,530504.0,175619.0
E7 0ES,340000,540329.0,185497.0
SE27 0ND,453700,531346.0,171929.0
SW11 6JW,630000,527846.0,174232.0
SE14 6FL,397000,536692.0,177450.0
E15 4JW,320000,539594.0,184869.0
SE26 6SF,299950,533962.0,171493.0
SW11 1EW,600000,527325.0,175022.0
